PERIOD_BEGIN_DATE,YEAR,MONTH,SECTOR_SCENARIO_CD,CONSUMER_PRICE_INDEX,PERSONAL_DISPOSABLE_INCOME_REAL_LCU,GDP_NOMINAL_LCU,GDP_REAL_LCU,RETAIL_PRICES_INDEX,SHARE_PRICE_INDEX,UNEMP_RATE
01-05-2018,2018,5,4,94.38,13161.13,22746.6,23149.87,96.88,2977.87,2.85
01-05-2018,2018,5,5,94.38,13161.13,22746.6,23149.87,96.88,2977.87,2.85
01-06-2018,2018,6,1,94.67,13220.47,23097,23566.63,96.88,2871.82,2.85
01-06-2018,2018,6,2,94.67,13220.47,23097,23566.63,96.88,2871.82,2.85
01-06-2018,2018,6,3,94.67,13220.47,23097,23566.63,96.88,2871.82,2.85
01-06-2018,2018,6,4,94.67,13220.47,23097,23566.63,96.88,2871.82,2.85
01-06-2018,2018,6,5,94.67,13220.47,23097,23566.63,96.88,2871.82,2.85
01-07-2018,2018,7,1,94.96,13279.8,23447.4,23983.4,96.88,2765.77,2.85
01-07-2018,2018,7,2,94.96,13279.8,23447.4,23983.4,96.88,2765.77,2.85
01-07-2018,2018,7,3,94.96,13279.8,23447.4,23983.4,96.88,2765.77,2.85
01-07-2018,2018,7,4,94.96,13279.8,23447.4,23983.4,96.88,2765.77,2.85
01-07-2018,2018,7,5,94.96,13279.8,23447.4,23983.4,96.88,2765.77,2.85
01-08-2018,2018,8,1,95.16,13360.8,24258.57,24688.77,97.18,2711.58,2.85
01-08-2018,2018,8,2,95.16,13360.8,24258.57,24688.77,97.18,2711.58,2.85
01-08-2018,2018,8,3,95.16,13360.8,24258.57,24688.77,97.18,2711.58,2.85
01-08-2018,2018,8,4,95.16,13360.8,24258.57,24688.77,97.18,2711.58,2.85
01-08-2018,2018,8,5,95.16,13360.8,24258.57,24688.77,97.18,2711.58,2.85
01-09-2018,2018,9,1,95.36,13441.8,25069.73,25394.13,97.47,2657.38,2.85
01-09-2018,2018,9,2,95.36,13441.8,25069.73,25394.13,97.47,2657.38,2.85
01-09-2018,2018,9,3,95.36,13441.8,25069.73,25394.13,97.47,2657.38,2.85
01-09-2018,2018,9,4,95.36,13441.8,25069.73,25394.13,97.47,2657.38,2.85
01-09-2018,2018,9,5,95.36,13441.8,25069.73,25394.13,97.47,2657.38,2.85
01-10-2018,2018,10,1,95.56,13522.8,25880.9,26099.5,97.77,2603.19,2.85
01-10-2018,2018,10,2,95.56,13522.8,25880.9,26099.5,97.77,2603.19,2.85
01-10-2018,2018,10,3,95.56,13522.8,25880.9,26099.5,97.77,2603.19,2.85
01-10-2018,2018,10,4,95.56,13522.8,25880.9,26099.5,97.77,2603.19,2.85
01-10-2018,2018,10,5,95.56,13522.8,25880.9,26099.5,97.77,2603.19,2.85
01-11-2018,2018,11,1,95.85,13587.03,24492.87,24811.57,97.3,2666.44,2.87
01-11-2018,2018,11,2,95.85,13587.03,24492.87,24811.57,97.3,2666.44,2.87
01-11-2018,2018,11,3,95.85,13587.03,24492.87,24811.57,97.3,2666.44,2.87
